district,age,monthly_income_rwf,loan_amount_rwf,loan_term_months,has_collateral,previous_loans_count,default
Rubavu,58,254800,344800,36,0,1,0
Gasabo,30,143400,344200,6,0,1,0
Musanze,52,110000,334900,18,0,2,0
Musanze,54,93400,108900,18,1,2,0
Rubavu,40,79300,285800,12,1,2,0
Gasabo,23,50100,121800,24,1,2,0
Nyarugenge,33,143600,217400,6,1,1,0
Gasabo,21,134500,384800,24,1,3,0
Kicukiro,55,30500,109600,12,1,1,1
Kicukiro,40,95700,75200,6,1,2,1
Nyarugenge,64,165900,598400,12,0,1,0
Rubavu,32,177500,152200,24,0,1,0
Nyarugenge,54,188500,544700,12,1,3,0
Rubavu,37,122500,310900,6,0,1,1
Nyarugenge,62,150300,562100,18,1,3,0
Musanze,55,124700,301600,6,0,1,1
Kicukiro,64,208600,751600,12,0,0,0
Musanze,41,217100,504300,18,0,2,0
Rubavu,23,132400,423600,24,0,3,0
Rubavu,42,256800,802500,6,0,1,0
Nyagatare,29,164700,656000,24,0,2,0
Nyarugenge,44,57200,65800,18,1,1,0
Nyarugenge,52,122200,173900,36,0,1,0
Nyagatare,34,97500,204500,18,1,0,0
Nyarugenge,59,162000,510400,12,1,2,0
Musanze,37,95600,67600,18,1,2,0
Nyagatare,52,230100,378700,12,1,1,0
Nyarugenge,28,180800,631000,18,0,0,1
Kicukiro,22,143800,322300,36,1,2,1
Nyarugenge,21,107700,207400,12,1,2,0
Gasabo,22,173300,689800,36,0,2,0
Rubavu,58,80700,306400,12,0,0,1
Gasabo,25,166600,379100,12,0,2,0
Musanze,60,137400,92000,18,1,0,0
Musanze,20,283300,467700,12,0,1,1
Nyarugenge,57,86700,326500,12,0,1,0
Musanze,28,103300,154800,6,0,3,1
Nyarugenge,26,48700,164900,12,1,0,0
Gasabo,47,113300,207400,18,0,1,1
Nyarugenge,22,131200,365400,12,0,4,0
Nyarugenge,18,322800,545900,18,0,1,0
Nyagatare,41,150700,123600,36,1,0,0
Rubavu,38,101200,98500,12,0,1,0
Rubavu,47,230800,664000,18,0,0,0
Rubavu,49,199700,400500,12,0,1,0
Kicukiro,60,173300,304900,18,0,0,0
Gasabo,40,118200,384300,6,1,1,1
Musanze,48,168900,391500,12,0,2,1
Nyarugenge,18,100400,214600,12,0,0,1
Nyagatare,52,220600,797400,18,1,2,1
Rubavu,38,114100,205700,36,0,1,0
Nyarugenge,33,102700,292000,18,0,2,0
Nyagatare,38,139500,116900,12,1,3,0
Rubavu,35,107300,235900,24,1,2,0
Musanze,28,120400,218900,18,0,2,0
Gasabo,18,81400,146200,24,1,2,0
Musanze,18,190200,719300,36,0,2,0
Musanze,52,75200,221900,6,0,4,1
Musanze,53,211400,153200,6,0,0,0
Gasabo,46,121200,417200,24,0,0,0
Musanze,59,173400,608200,24,1,2,0
Musanze,53,60400,47100,36,0,2,1
Rubavu,39,149100,285200,12,1,2,0
Musanze,56,88400,93200,24,1,0,0
Gasabo,63,210100,359100,12,0,1,0
Musanze,42,111700,56100,6,0,5,0
Gasabo,40,211900,562500,18,1,3,0
Nyagatare,41,103400,127900,12,0,1,0
Gasabo,46,141300,476600,36,0,2,0
Nyagatare,29,152200,584500,24,0,3,0
Gasabo,29,57300,78100,6,0,1,0
Kicukiro,40,125800,479400,36,0,1,0
Musanze,46,128600,382500,12,1,6,0
Kicukiro,54,161500,528400,12,0,2,1
Kicukiro,20,487600,1314500,36,1,4,0
Nyagatare,47,118600,345700,12,0,0,0
Musanze,57,283900,743600,12,0,3,0
Musanze,59,142500,416800,24,0,1,1
Kicukiro,60,103300,116500,6,0,1,0
Nyarugenge,26,159900,396600,18,0,1,0
Rubavu,56,91500,176500,36,0,1,0
Nyagatare,44,104900,55300,12,0,0,1
Musanze,35,160300,391500,12,0,3,0
Gasabo,34,81900,274300,12,1,2,0
Gasabo,25,180100,133200,18,1,0,0
Rubavu,22,103800,176000,24,1,0,0
Musanze,64,113100,378700,18,0,0,0
Rubavu,21,176400,195100,6,1,1,1
Rubavu,41,87900,247100,18,0,1,0
Nyagatare,64,210200,678400,24,0,2,1
Rubavu,46,147300,249300,18,0,2,0
Musanze,62,130000,108800,36,1,1,0
Musanze,54,74000,69700,36,0,1,0
Nyarugenge,49,182100,196200,12,1,1,0
Rubavu,58,82200,242000,6,1,0,0
Musanze,39,128300,512700,12,1,0,0
Nyarugenge,18,207400,697700,12,1,1,0
Kicukiro,46,215300,599100,12,0,1,1
Kicukiro,25,77000,172800,6,1,2,0
Musanze,61,161500,579400,6,0,2,0
Nyagatare,44,53100,183200,6,1,4,0
Kicukiro,23,173200,377700,12,0,0,0
Musanze,30,107500,356900,18,0,1,1
Nyagatare,19,81200,265200,12,0,3,0
